target,source_id,cell_id,condition_id,discharge_stage,sample_count,model_mae,model_p95_absolute_error,physical_mae,physical_max_absolute_error
soc,mit_stanford_fast_charge,b1c17,5.4C(60%)-3.6C,50-75%,1052,,,2.4431238612236098e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c17,5.4C(60%)-3.6C,75-100%,4428,,,4.346424541569334e-17,9.980080997729068e-17
soc,mit_stanford_fast_charge,b1c17,5.4C(60%)-3.6C,>100%,208,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c18,5.4C(70%)-3C,0-25%,3825,,,3.6833281522858137e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c18,5.4C(70%)-3C,25-50%,891,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c18,5.4C(70%)-3C,50-75%,905,,,2.4105947440756162e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c18,5.4C(70%)-3C,75-100%,3470,,,4.518260673746947e-17,9.974659986866641e-17
soc,mit_stanford_fast_charge,b1c18,5.4C(70%)-3C,>100%,204,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c19,5.4C(70%)-3C,0-25%,5364,,,4.723208318781893e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c19,5.4C(70%)-3C,25-50%,1026,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c19,5.4C(70%)-3C,50-75%,990,,,2.2877322931669892e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c19,5.4C(70%)-3C,75-100%,4087,,,4.3126397151368715e-17,9.974659986866641e-17
soc,mit_stanford_fast_charge,b1c19,5.4C(70%)-3C,>100%,177,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,0-25%,5864,,,3.061443776976259e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,25-50%,1651,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,50-75%,1495,,,2.3912495915003373e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,75-100%,5758,,,4.25312288655697e-17,9.996344030316351e-17
soc,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,>100%,532,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c20,5.4C(80%)-5.4C,0-25%,4094,,,4.5260435468964e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c20,5.4C(80%)-5.4C,25-50%,616,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c20,5.4C(80%)-5.4C,50-75%,628,,,2.3070717311080085e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c20,5.4C(80%)-5.4C,75-100%,2797,,,4.517505074773725e-17,9.990923019453923e-17
soc,mit_stanford_fast_charge,b1c20,5.4C(80%)-5.4C,>100%,107,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c21,5.4C(80%)-5.4C,0-25%,3517,,,4.6309274299832374e-17,1.1102230246251565e-16
